beach_id,rating,text
nova-almeida,4,"A praia é linda e ótima para banho, mas a estrutura precisa de um pouco mais de atenção! A faixa de areia, a depender da maré, é bastante extensa, ótima para caminhadas e com bastante espaço para barracas e cangas. O mar é ótimo para crianças, não costuma ser agitado e só fica fundo muitos metros à partir da costa. A praia é um pouco suja, com garrafas e outros objetos, mas nada fora da média. O que fica de ressalva é a estrutura. O calçadão é um pouco estreito, com pontos esburacados, as passarelas estão com várias tábuas soltas ou faltando e até pregos expostos, muitas quadras já estão tomadas pelo mato e com traves e redes desgastados ou faltando."
nova-almeida,4,"O que está faltando nessa praia são os Quiosques mas para quem gosta de pescar e fazer um churrasco tem uns lugares com sombra e o encontro do rio com o mar tem um charme a parte, a igreja dos Reis Magos cheia de história e a praça à noite movimentada devido a sua gastronomia."
nova-almeida,5,"Lugar onde encontrei minha esposa, minha vida. SEMPRE foi um lugar muito querido por mim, vizinho de Jacaraípe. Ligar excelente para ir a praia."
nova-almeida,5,"Excelente. Tranquila calma. Pouco frequentada. Tem as falésias interessantes e bonita."
nova-almeida,3,"A praia estava com uma cor de barro, faixa de areia pequena e orla inexistente. Não voltaria."
jacaraipe,5,"Excelente praia principalmente para a família. Mar calmo e raso para todos divertirem. Bares e quiosques próximos. Duchas. Ambiente tranquilo."
jacaraipe,3,"Praia muito boa para quem gosta de caminhar de noite e ter um tempo sozinho, só que pra tomar banho é meio ruim, muito lixo e sujeira, tanto na água quanto na areia,furei meu pé uma vez em um caco de vidro,na praia de Jacaraípe."
jacaraipe,3,"As praias poderiam ter mais chuveiros em sua extensão,  assim como banheiros e mais árvores. A Prefeitura deveria promover um programa de reciclagem de tampinhas de garrafa e oferecer um pequeno  valor para o Kg arrecadado. Desta firma diminuiria a quantidade delas nas areias, já que os proprietariosxdos bares não se educam para tal."
jacaraipe,5,"Uma praia tranquila, com bares e restaurantes. Fácil estacionamento. Preços justos"
jacaraipe,5,"Jacaraípe é um local diferenciado onde as pessoas tem diversas opções de lazer, sorveterias, bares, restaurantes, para quem quer um banho de mar tranquilo, com segurança, aqui é o lugar apropriado para você ser feliz gastando pouco!"
manguinhos,5,"Praia limpa e calma, ambiente famíliar. Ótima infraestrutura nos quiosques, praia bem tranquila agora em alta temporada. Maré baixa, água não muito gelada mais bem tranquila para a família."
manguinhos,5,"Linda Praia de Manguinhos, super tranquila, sem aglomeração, quando eu fui achei o mar agitado. Ótima opção para quem esta em Vitória, recomendo."
manguinhos,5,"Achei top praia sem aglomeração. Praia de Família. Água estava calma. E o melhor trouxe meu Hotwale pra tomar uma banho !!"
manguinhos,5,"Praia de excelente água fria mais com a faixa de areia excelente em um local muito bom para ser frequentado por famílias sem ondas no período de baixa excelente indico a todos."
manguinhos,5,"Praia super agradável, tranquila e estilo rústico, porém, com quiosque, aluguel de cadeiras e guarda sol. No centrinho possui restaurantes, sorveteria, lojinha... é uma ótima opção de passeio. Para quem está hospedado em Vitória, o acesso é rápido e bem tranquilo utilizando carros por app."
praia-de-camburi,5,"Praia com uma boa estrutura , possui vários bancos e pergolados ao longo da orla , conta com uma larga faixa de calçada  , ciclovia, e um paisagismo muito bonito , com jardins bem cuidados . Alguns pontos da praia são impróprios para banho. Quiosques bem distribuídos pelas calçadas."
praia-de-camburi,5,"A Praia de Camburi tem um potencial natural incrível e um visual de tirar o fôlego, mas infelizmente a experiência é prejudicada pela quantidade de lixo na areia e consequentemente, no mar; falta consciência dos visitantes e melhor manutenção para preservar esse paraíso."
praia-de-camburi,4,"A praia e ampla e possuí muita coisa boa em volta pra comer e fazer como passeio de bike e lanchas pescaria e muito mais.poucos postos de salva vidas porém muito policiamento no local.a comida não foi cara demais estava dentro do normal.muita conchinhas pra pegar.uma única ressalva é que,o mar estava um pouco bravo pra crianças pequenas e que a água e marrom e alguma pessoas comentaram que e contamina com ferro devido aos estaleiros próximos.a água e rasa até bons 30 metros da faixa de areia água boa.muito calmo o local e bom pra passear com a família.e tem várias acomodações baratas e próxima bem como o comércio completo pertinho,nem e preciso carro pra nada além do shopping."
praia-de-camburi,5,"Ótima praia! Não costuma ser muito cheia, é uma praia muito grande. Tem bastante vento e ondas bem fortes, não é ideal pra nadar, até por ser próxima a Vale (minérios). Porém é muito bonita, tem varios banquinhos e pergolados, restaurantes, lugar para jogar vôlei, pier, etc. Gosto muito da Praia de Camburi."
praia-de-camburi,4,"São 5km do viaduto da Vale até o Pier da Sereia. Ótima ciclovia, para: pedalar, caminhar, correr, patinar, praticar academia pública ao ar livre, futebol, vôlei de praia e esportes com raquetes, vários kiosques e restaurantes na beira da praia, muitas barracas de água de côco, milhos cozidos e outras especiarias. Excelente para passear e ainda mais no parque Atlântico da Vale, duas áreas de Skate, um de bike, vários aparelhos para musculação. Aos domingos é interditado à pista lateral a praia, até  à  praça do papa em direção dás 5:00h da manhã até  às 15:00h. Tem também vários eventos"
praia-do-canto,1,"Praia horrível, suja demais a água é cheia de tem óleo e cheiro de esgoto e gasolina, devem ser dos iates, já foi colocada como imprópria para o banho várias vezes, pois tem até coliformes fecais, as pessoas tem muita coragem de ficar nessa água de esgoto"
praia-do-canto,4,"Praia com poucas ondas, água numa temperatura boa, muitas crianças, cachorros, alguns lugares mais cheios outros mais tranquilos, muitos ambulantes, cerveja gelada. Os quiosques lotados sem chance de se fazer uma refeição, filas de espera e o atendimento deixou a desejar."
praia-do-canto,5,"Outra praia bem tranquila, com pouco movimento e de águas calmas. Ótima para crianças e famílias curtirem. Sombra de coqueiros e só tem o Bob's por aqui. Tbm chamada de baía das tartarugas, infelizmente por falta de conscientização dos pilotos de lanchas e jets skys e pelo lixo hj 2 bem jovens foram encontradas mortas aqui."
praia-do-canto,4,"A Praia do Canto possui um cenário belíssimo, ela mescla áreas verdes com o mar,além de lugares para a prática de esportes. Além disso,o bairro é super estruturado,conta com restaurantes, supermercados, padarias, farmácia entre outros estabelecimentos. Não entrei no mar,então não posso dizer sobre esse aspecto. Mas para caminhar e contemplar o lugar,sem dúvida, vale muito à pena 😉."
praia-do-canto,5,"Muita tranquila. Possui calçadão para poder caminhar e correr. Atenção com os ciclistas, nem todos respeitam a faixa e andam em alta velocidade, principalmente usando bike elétrica. Areia limpa, tem banheiros químicos e lixeira. Alguns pontos para comer ao redor. Vamos manter a limpeza."
